year,mean,unc
1940,296,0.12
1941,297,0.12
1942,298,0.12
1943,299,0.12
1944,300,0.12
1945,301,0.12
1946,302,0.12
1947,303,0.12
1948,304,0.12
1949,305,0.12
1950,306,0.12
1951,307,0.12
1952,308,0.12
1953,309,0.12
1954,310,0.12
1955,311,0.12
1956,312,0.12
1957,313,0.12
1958,314,0.12
1959,315.98,0.12
1960,316.91,0.12
1961,317.64,0.12
1962,318.45,0.12
1963,318.99,0.12
1964,319.62,0.12,0.12
1965,320.04,0.12
1966,321.37,0.12
1967,322.18,0.12
1968,323.05,0.12
1969,324.62,0.12
1970,325.68,0.12
1971,326.32,0.12
1972,327.46,0.12
1973,329.68,0.12
1974,330.19,0.12
1975,331.1,0.05
1976,332.0,0.07
1977,333.3,0.09
1978,335.4,0.1
1979,336.85,0.1
1980,338.91,0.07
1981,340.11,0.08
1982,340.86,0.03
1983,342.53,0.05
1984,344.07,0.07
1985,345.54,0.07
1986,346.97,0.07
1987,348.68,0.09
1988,351.16,0.06
1989,352.79,0.07
1990,354.06,0.07
1991,355.39,0.06
1992,356.09,0.07
1993,356.83,0.07
1994,358.33,0.09
1995,360.17,0.05
1996,361.93,0.04
1997,363.05,0.05
1998,365.7,0.05
1999,367.79,0.06
2000,368.96,0.07
2001,370.57,0.06
2002,372.58,0.05
2003,375.14,0.04
2004,376.95,0.06
2005,378.98,0.05
2006,381.15,0.05
2007,382.9,0.05
2008,385.02,0.04
2009,386.5,0.04
2010,388.75,0.07
2011,390.62,0.07
2012,392.65,0.07
2013,395.4,0.06
2014,397.34,0.05
2015,399.65,0.05
2016,403.06,0.07
2017,405.22,0.08
2018,407.61,0.08
2019,410.07,0.09
2020,412.44,0.07
2021,414.7,0.07
2022,417.08,0.08
2023,419.36,0.1
2024,422.8,0.1

