Rok,Díra,Pravda,Teplota_11_25,Déšť_11_25,Sníh_11_25,Teplota_12_24,Déšť_12_24,Sníh_12_24
1975,Kostice,Neplatí,-5.40,0.00,0.00,-2.69,0.00,0.00
1975,Rebešovice,Neplatí,-4.69,0.00,0.00,-3.06,0.00,0.00
1975,Lelekovice,Neplatí,-5.51,0.00,0.00,-0.79,0.00,0.00
1975,Předklášteří,Neplatí,-5.19,0.00,0.00,-0.45,0.00,0.00
1975,Sudoměřice,Neplatí,-6.34,0.00,0.00,-3.06,0.00,0.00
1975,Prštice,Neplatí,-5.04,0.00,0.00,-2.48,0.00,0.00
1976,Prštice,Neplatí,-1.42,0.20,0.07,-2.68,0.00,0.35
1976,Sudoměřice,Neplatí,-1.90,0.20,0.07,-1.99,0.00,0.00
1976,Předklášteří,Neplatí,-2.02,0.20,0.07,-2.46,0.00,0.35
1976,Lelekovice,Neplatí,-2.26,0.00,0.07,-2.62,0.00,0.21
1976,Rebešovice,Neplatí,-0.87,0.10,0.00,-2.22,0.00,0.21
1976,Kostice,Neplatí,-0.88,0.30,0.00,-1.87,0.00,0.00
1977,Kostice,Neplatí,2.37,0.00,0.00,-1.34,2.40,0.00
1977,Rebešovice,Neplatí,2.10,0.00,0.00,-1.18,1.50,0.00
1977,Lelekovice,Neplatí,1.92,0.00,0.00,-1.28,1.00,0.00
1977,Předklášteří,Neplatí,2.33,0.00,0.00,-0.69,1.40,0.00
1977,Sudoměřice,Neplatí,2.28,0.00,0.00,-1.70,2.80,0.00
1977,Prštice,Neplatí,1.70,0.00,0.00,-1.35,1.40,0.00
1978,Prštice,Neplatí,-0.59,0.00,0.00,-0.81,0.00,0.35
1978,Sudoměřice,Neplatí,1.18,0.00,0.07,0.42,0.00,0.00
1978,Předklášteří,Neplatí,0.11,0.00,0.00,-0.82,0.00,0.35
1978,Lelekovice,Neplatí,-0.09,0.00,0.00,-0.85,0.00,1.05
1978,Rebešovice,Neplatí,-0.07,0.00,0.00,-0.20,0.10,0.14
1978,Kostice,Neplatí,0.78,0.00,0.00,0.31,0.00,0.00
1979,Kostice,Neplatí,2.63,0.00,0.00,6.39,6.60,0.00
1979,Rebešovice,Neplatí,2.30,0.00,0.00,6.07,7.40,0.00
1979,Lelekovice,Neplatí,1.83,0.00,0.00,5.51,7.30,0.00
1979,Předklášteří,Neplatí,2.07,0.00,0.00,5.66,7.20,0.00
1979,Sudoměřice,Neplatí,2.24,0.00,0.00,6.59,6.00,0.00
1979,Prštice,Neplatí,1.81,0.00,0.00,5.34,7.20,0.00
1980,Prštice,Neplatí,6.41,0.00,0.00,7.58,0.00,0.00
1980,Sudoměřice,Neplatí,5.80,0.00,0.00,7.77,0.10,0.00
1980,Předklášteří,Neplatí,7.60,0.00,0.00,7.84,0.00,0.00
1980,Lelekovice,Neplatí,7.27,0.00,0.00,7.55,0.00,0.00
1980,Rebešovice,Neplatí,6.73,0.00,0.00,8.08,0.00,0.00
1980,Kostice,Neplatí,6.30,0.00,0.00,8.00,0.10,0.00
1981,Kostice,Neplatí,3.98,0.00,0.00,-2.30,0.00,0.77
1981,Rebešovice,Neplatí,3.13,0.00,0.00,-3.23,0.00,0.63
1981,Lelekovice,Neplatí,2.33,0.00,0.00,-3.35,0.00,0.70
1981,Předklášteří,Neplatí,2.61,0.00,0.00,-3.51,0.00,0.63
1981,Sudoměřice,Neplatí,3.44,0.00,0.00,-1.03,0.00,0.77
