Rok,Město,Pravda,Teplota_11_25,Déšť_11_25,Sníh_11_25,Teplota_12_24,Déšť_12_24,Sníh_12_24
1975,Blansko,Neplatí,-5.36,0.00,0.00,-0.50,0.00,0.00
1975,Břeclav,Neplatí,-5.14,0.00,0.00,-2.65,0.00,0.00
1975,Ivančice,Neplatí,-4.10,0.00,0.00,-0.84,0.00,0.00
1975,Vyškov,Neplatí,-5.10,0.00,0.00,-1.21,0.00,0.00
1975,Znojmo,Neplatí,-4.47,0.00,0.00,-1.38,0.00,0.00
1975,Hodoním,Neplatí,-5.51,0.00,0.00,-3.12,0.00,0.00
1976,Hodoním,Neplatí,-1.02,0.60,0.00,-1.88,0.00,0.00
1976,Znojmo,Neplatí,-1.02,1.40,0.42,-1.93,0.00,0.00
1976,Vyškov,Neplatí,-1.71,0.10,0.00,-2.00,0.00,0.07
1976,Ivančice,Neplatí,-0.70,0.40,0.07,-1.88,0.00,0.28
1976,Břeclav,Neplatí,-0.64,0.60,0.00,-1.68,0.00,0.00
1976,Blansko,Neplatí,-2.05,0.10,0.07,-2.65,0.00,0.14
1977,Blansko,Neplatí,2.19,0.00,0.00,-1.23,1.10,0.00
1977,Břeclav,Neplatí,2.53,0.00,0.00,-1.27,2.40,0.00
1977,Ivančice,Neplatí,2.58,0.00,0.00,-0.60,1.40,0.00
1977,Vyškov,Neplatí,2.10,0.10,0.00,-1.50,0.90,0.00
1977,Znojmo,Neplatí,2.40,0.00,0.00,1.25,1.80,0.00
1977,Hodoním,Neplatí,2.47,0.00,0.00,-1.64,2.40,0.00
1978,Hodoním,Neplatí,1.08,0.00,0.00,0.38,0.00,0.00
1978,Znojmo,Neplatí,0.68,0.00,0.00,-0.97,0.00,0.21
1978,Vyškov,Neplatí,1.07,0.00,0.00,0.18,0.10,0.21
1978,Ivančice,Neplatí,0.28,0.00,0.00,-0.16,0.00,0.28
1978,Břeclav,Neplatí,1.07,0.00,0.00,0.48,0.00,0.00
1978,Blansko,Neplatí,0.06,0.00,0.00,-1.01,0.00,0.77
1979,Blansko,Neplatí,1.90,0.00,0.00,5.55,6.20,0.00
1979,Břeclav,Neplatí,2.68,0.00,0.00,6.47,5.50,0.00
1979,Ivančice,Neplatí,2.56,0.00,0.00,5.93,6.20,0.00
1979,Vyškov,Neplatí,2.17,0.00,0.00,6.39,5.90,0.00
1979,Znojmo,Neplatí,2.20,0.00,0.00,4.82,5.30,0.00
1979,Hodoním,Neplatí,2.49,0.00,0.00,6.58,5.50,0.00
1980,Hodoním,Neplatí,6.11,0.00,0.00,7.88,0.10,0.00
1980,Znojmo,Neplatí,7.70,0.00,0.00,8.01,0.00,0.00
1980,Vyškov,Neplatí,7.35,0.00,0.00,7.60,0.00,0.00
1980,Ivančice,Neplatí,7.45,0.00,0.00,8.26,0.00,0.00
1980,Břeclav,Neplatí,6.38,0.00,0.00,8.00,0.10,0.00
1980,Blansko,Neplatí,7.57,0.00,0.00,7.63,0.00,0.00
1981,Blansko,Neplatí,2.60,0.00,0.00,-3.69,0.00,0.56
1981,Břeclav,Neplatí,3.90,0.00,0.00,-2.60,0.00,0.28
1981,Ivančice,Neplatí,3.23,0.00,0.00,-3.72,0.00,0.42
1981,Vyškov,Neplatí,2.84,0.00,0.00,-1.60,0.00,0.42
1981,Znojmo,Neplatí,3.03,0.00,0.00,-6.24,0.00,0.63
1981,Hodoním,Neplatí,3.90,0.00,0.00,-1.74,0.00,0.28
1982,Hodoním,Neplatí,6.94,0.20,0.00,1.70,0.80,0.98
1982,Znojmo,Neplatí,5.68,0.70,0.00,0.73,0.00,0.21
1982,Vyškov,Neplatí,6.45,0.80,0.00,1.28,0.10,0.70
1982,Ivančice,Neplatí,6.17,0.90,0.00,1.43,0.00,0.21
1982,Břeclav,Neplatí,6.78,0.20,0.00,1.87,0.80,0.98
1982,Blansko,Neplatí,5.72,0.90,0.00,0.60,0.00,0.21
1983,Blansko,Neplatí,-2.15,1.00,2.38,5.25,1.00,0.00
1983,Břeclav,Neplatí,-1.31,0.00,0.00,6.04,1.90,0.00
1983,Ivančice,Neplatí,-1.58,0.50,0.42,6.12,1.10,0.00
1983,Vyškov,Neplatí,-1.37,0.70,2.17,4.90,0.90,0.00
1983,Znojmo,Neplatí,-1.67,0.30,0.00,6.53,0.90,0.00
1983,Hodoním,Neplatí,-1.33,0.00,0.00,5.75,1.90,0.00
1984,Hodoním,Neplatí,9.65,0.00,0.00,-2.36,0.00,0.00
1984,Znojmo,Neplatí,9.75,0.00,0.00,-3.01,0.00,0.00
1984,Vyškov,Neplatí,9.27,0.00,0.00,-2.42,0.00,0.00
1984,Ivančice,Neplatí,9.82,0.00,0.00,-1.79,0.00,0.00
1984,Břeclav,Neplatí,9.76,0.00,0.00,-2.35,0.00,0.00
1984,Blansko,Neplatí,9.40,0.00,0.00,-3.32,0.00,0.00
1985,Blansko,Neplatí,-0.63,0.00,0.70,-0.58,0.00,0.35
1985,Břeclav,Neplatí,-0.06,0.00,0.70,0.51,0.00,0.21
1985,Ivančice,Neplatí,0.01,0.00,0.70,0.12,0.00,0.42
1985,Vyškov,Neplatí,-0.35,0.00,0.56,0.34,0.00,0.07
1985,Znojmo,Neplatí,-0.36,0.00,1.05,-0.38,0.00,0.07
1985,Hodoním,Neplatí,-0.17,0.00,0.70,0.29,0.00,0.21
1986,Hodoním,Neplatí,3.20,0.00,0.00,-4.75,0.00,0.77
1986,Znojmo,Neplatí,4.53,0.00,0.00,-4.20,0.00,1.12
1986,Vyškov,Neplatí,3.35,0.00,0.00,-5.16,0.00,0.56
