rok,teplota,dest,snih,true
1975,0.22916666666666666,0.0,0.0,True
1976,-4.25,0.0,0.0,False
1977,2.9749999999999996,2.7000000000000006,0.0,True
1978,-3.6791666666666667,0.0,0.9800000000000001,False
1979,-4.633333333333334,0.0,0.0,False
1980,2.7583333333333333,0.5,0.0,True
1981,3.8875000000000006,0.6000000000000001,1.26,True
1982,1.575,0.0,0.0,True
1983,-1.7166666666666666,0.0,2.380000000000001,False
1984,3.3208333333333333,6.699999999999999,0.07,True
1985,-1.3791666666666667,0.0,0.0,False
1986,-12.920833333333334,0.0,0.0,False
1987,2.3000000000000003,4.2,0.07,True
1988,4.0375000000000005,6.000000000000002,0.0,True
1989,4.166666666666667,0.0,0.0,True
1990,2.6083333333333334,0.0,0.0,True
1991,-5.95,0.0,2.45,False
1992,5.4333333333333345,3.4,0.0,True
1993,1.3958333333333337,0.0,0.0,True
1994,4.312499999999999,0.0,0.0,True
1995,7.3625,0.0,0.0,True
1996,-12.658333333333333,0.0,0.07,False
1997,-1.7874999999999999,0.0,0.0,False
1998,-0.15833333333333321,0.0,0.0,False
1999,-0.22916666666666655,0.1,2.5900000000000003,False
2000,5.970833333333334,0.0,0.0,True
2001,3.383333333333334,0.0,0.0,True
2002,2.8833333333333333,0.30000000000000004,0.0,True
2003,-4.695833333333334,0.0,0.0,False
2004,8.845833333333333,0.0,0.0,True
2005,-9.295833333333334,0.0,0.0,False
2006,-4.887499999999999,2.1,4.200000000000001,False
2007,2.170833333333334,0.30000000000000004,0.9800000000000002,True
2008,4.0375000000000005,1.1,0.0,True
2009,7.0541666666666645,0.0,0.0,True
2010,-7.3166666666666655,0.0,0.07,False
2011,3.9083333333333328,0.0,0.0,True
2012,-11.3375,0.0,0.42000000000000004,False
2013,-1.0458333333333334,0.0,0.0,False
2014,1.1375000000000002,0.6,0.6300000000000001,True
2015,-3.533333333333333,0.0,0.0,False
2016,3.691666666666667,0.0,0.0,True
2017,-2.883333333333333,0.0,0.0,False
2018,0.1083333333333334,0.0,3.36,True
2019,-2.404166666666667,0.0,0.0,False
2020,3.2625000000000006,0.0,0.0,True
2021,-2.566666666666667,2.0999999999999996,1.26,False
2022,2.9874999999999994,1.9999999999999998,0.07,True
2023,-4.620833333333332,0.0,0.0,False
2024,7.758333333333334,1.5,0.0,True
