rok,teplota,dest,snih,true
1975,0.19583333333333328,0.0,0.0,True
1976,-4.595833333333333,0.0,0.0,False
1977,2.35,2.900000000000001,0.0,True
1978,-2.75,0.0,1.12,False
1979,-4.145833333333333,0.0,0.0,False
1980,3.4499999999999997,0.5,0.0,True
1981,3.7125000000000004,0.8,1.26,True
1982,0.8374999999999998,0.0,0.0,True
1983,-1.1833333333333333,0.0,2.4499999999999997,False
1984,3.1541666666666672,7.699999999999999,0.0,True
1985,-1.054166666666667,0.0,0.21000000000000002,False
1986,-12.15,0.0,0.0,False
1987,1.8166666666666662,4.3999999999999995,0.14,True
1988,4.654166666666667,6.4,0.0,True
1989,4.270833333333334,0.0,0.0,True
1990,3.9458333333333346,0.0,0.0,True
1991,-6.020833333333335,0.0,2.3100000000000005,False
1992,6.020833333333333,5.199999999999999,0.0,True
1993,1.1708333333333334,0.0,0.0,True
1994,5.291666666666667,0.0,0.0,True
1995,8.1875,0.0,0.0,True
1996,-13.550000000000002,0.0,0.0,False
1997,-0.9708333333333333,0.0,0.0,False
1998,0.3333333333333332,0.0,0.0,True
1999,-0.1708333333333333,0.2,2.2399999999999998,False
2000,4.654166666666667,0.0,0.0,True
2001,4.9625,0.0,0.0,True
2002,3.3333333333333335,0.2,0.0,True
2003,-4.125000000000001,0.0,0.0,False
2004,8.866666666666667,0.0,0.0,True
2005,-5.416666666666667,0.0,0.0,False
2006,-6.029166666666666,1.8,5.319999999999999,False
2007,2.3666666666666667,0.2,1.3300000000000003,True
2008,4.25,1.4000000000000001,0.0,True
2009,8.104166666666666,0.0,0.0,True
2010,-7.183333333333333,0.0,0.07,False
2011,3.525,0.0,0.0,True
2012,-10.733333333333333,0.0,0.28,False
2013,-0.9249999999999998,0.0,0.0,False
2014,2.204166666666666,0.8999999999999999,0.21000000000000002,True
2015,-3.0124999999999997,0.0,0.0,False
2016,5.029166666666669,0.0,0.0,True
2017,-2.6750000000000003,0.0,0.0,False
2018,-0.3416666666666666,0.0,3.57,False
2019,-1.3958333333333333,0.0,0.0,False
2020,3.691666666666667,0.1,0.0,True
2021,-4.4125000000000005,2.2,1.1900000000000006,False
2022,3.504166666666667,2.1,0.0,True
2023,-4.158333333333333,0.0,0.0,False
2024,8.058333333333334,0.9,0.0,True
