rok,teplota,dest,snih,true
1975,0.9458333333333334,0.0,0.0,True
1976,-2.5708333333333333,0.0,0.0,False
1977,3.658333333333333,1.1,0.0,True
1978,-2.795833333333334,0.0,0.5599999999999999,False
1979,-3.7791666666666672,0.0,0.0,False
1980,2.329166666666667,0.1,0.0,True
1981,5.016666666666667,1.6000000000000003,0.14,True
1982,2.441666666666667,0.0,0.0,True
1983,-1.4666666666666666,0.0,0.8400000000000003,False
1984,4.645833333333334,5.8999999999999995,0.0,True
1985,0.07083333333333337,0.1,0.0,True
1986,-9.625,0.0,0.21000000000000002,False
1987,3.1041666666666665,3.3000000000000003,0.0,True
1988,4.6083333333333325,3.3,0.0,True
1989,4.354166666666667,0.0,0.0,True
1990,2.0833333333333335,0.0,0.0,True
1991,-6.2458333333333345,0.1,4.410000000000001,False
1992,6.004166666666666,0.30000000000000004,0.0,True
1993,1.7374999999999998,0.0,0.0,True
1994,4.333333333333333,0.0,0.0,True
1995,8.791666666666666,0.0,0.0,True
1996,-11.9125,0.0,0.28,False
1997,-1.1083333333333334,0.0,0.0,False
1998,-0.4124999999999999,0.0,0.0,False
1999,0.17499999999999996,0.0,2.1,True
2000,6.033333333333332,0.0,0.0,True
2001,3.1625,0.0,0.0,True
2002,2.7708333333333335,0.4,0.0,True
2003,-2.6249999999999996,0.0,0.0,False
2004,9.566666666666668,0.0,0.0,True
2005,-7.033333333333334,0.0,0.0,False
2006,-3.8666666666666667,3.8,1.4700000000000002,False
2007,2.1958333333333333,0.1,0.35,True
2008,4.025,0.7,0.0,True
2009,6.849999999999999,0.2,0.0,True
2010,-6.591666666666668,0.0,0.21000000000000002,False
2011,4.445833333333333,0.0,0.0,True
2012,-10.1875,0.0,1.4000000000000001,False
2013,-0.8208333333333332,0.0,0.0,False
2014,1.1708333333333332,0.4,0.14,True
2015,-1.7916666666666667,0.0,0.0,False
2016,3.7666666666666657,0.0,0.0,True
2017,-1.2249999999999999,0.0,0.0,False
2018,-0.30416666666666664,0.0,3.8499999999999996,False
2019,-2.2875,0.0,0.0,False
2020,3.0541666666666667,0.0,0.0,True
2021,-2.0916666666666663,2.3,1.2600000000000005,False
2022,3.9083333333333337,2.0,0.0,True
2023,-4.304166666666667,0.0,0.0,False
2024,8.679166666666667,0.0,0.0,True
