Rok,Díra,Pravda,Teplota,Déšť,Sníh
1975,Sudoměřice,True,0.53,0.00,0.00
1975,Kostice,True,0.67,0.00,0.00
1975,Lelekovice,True,0.17,0.00,0.00
1975,Předklášteří,True,0.40,0.00,0.00
1975,Prštice,True,0.24,0.00,0.00
1975,Rebešovice,True,0.68,0.00,0.00
1976,Rebešovice,False,-2.65,0.00,0.00
1976,Prštice,False,-3.43,0.00,0.00
1976,Předklášteří,False,-4.16,0.00,0.00
1976,Lelekovice,False,-4.55,0.00,0.00
1976,Kostice,False,-1.25,0.00,0.00
1976,Sudoměřice,False,-1.51,0.00,0.00
1977,Sudoměřice,True,2.34,3.60,0.00
1977,Kostice,True,2.88,3.20,0.00
1977,Lelekovice,True,2.79,2.50,0.00
1977,Předklášteří,True,3.14,2.90,0.00
1977,Prštice,True,2.23,2.90,0.00
1977,Rebešovice,True,2.05,3.30,0.00
1978,Rebešovice,False,-2.23,0.00,1.26
1978,Prštice,False,-3.02,0.00,1.12
1978,Předklášteří,False,-3.55,0.00,1.12
1978,Lelekovice,False,-3.68,0.00,1.05
1978,Kostice,False,-1.96,0.00,1.61
1978,Sudoměřice,False,-2.47,0.00,1.82
1979,Sudoměřice,False,-3.38,0.00,0.00
1979,Kostice,False,-2.15,0.00,0.00
1979,Lelekovice,False,-4.55,0.00,0.00
1979,Předklášteří,False,-4.39,0.00,0.00
1979,Prštice,False,-4.05,0.00,0.00
1979,Rebešovice,False,-3.57,0.00,0.00
1980,Rebešovice,True,3.16,0.90,0.00
1980,Prštice,True,2.47,0.60,0.00
1980,Předklášteří,True,2.90,0.60,0.00
1980,Lelekovice,True,2.74,0.50,0.00
1980,Kostice,True,2.91,1.00,0.00
1980,Sudoměřice,True,3.41,1.40,0.00
1981,Sudoměřice,True,4.03,1.70,1.19
1981,Kostice,True,4.91,2.10,0.77
1981,Lelekovice,True,4.06,0.70,1.19
1981,Předklášteří,True,4.36,1.30,0.63
1981,Prštice,True,4.28,1.30,0.63
1981,Rebešovice,True,4.73,1.50,0.77
1982,Rebešovice,True,1.28,0.30,0.00
1982,Prštice,True,0.84,0.10,0.00
1982,Předklášteří,True,1.76,0.10,0.00
1982,Lelekovice,True,1.39,0.00,0.00
1982,Kostice,True,1.25,0.70,0.00
1982,Sudoměřice,True,0.78,0.40,0.00
1983,Sudoměřice,False,-1.00,0.10,1.61
1983,Kostice,False,-1.02,0.00,1.40
1983,Lelekovice,False,-1.79,0.00,1.61
1983,Předklášteří,False,-1.57,0.00,1.68
1983,Prštice,False,-1.74,0.00,1.68
1983,Rebešovice,False,-1.16,0.00,1.82
1984,Rebešovice,True,3.90,7.10,0.00
1984,Prštice,True,3.43,7.30,0.00
1984,Předklášteří,True,3.30,7.30,0.00
1984,Lelekovice,True,2.95,5.90,0.21
1984,Kostice,True,3.60,5.40,0.00
1984,Sudoměřice,True,2.91,6.20,0.00
1985,Sudoměřice,False,-0.11,0.00,0.42
1985,Kostice,True,0.40,0.00,0.35
1985,Lelekovice,False,-1.81,0.00,0.00
1985,Předklášteří,False,-1.59,0.00,0.00
1985,Prštice,False,-1.04,0.00,0.00
1985,Rebešovice,False,-0.38,0.00,0.07
1986,Rebešovice,False,-9.98,0.00,0.00
1986,Prštice,False,-11.43,0.00,0.00
1986,Předklášteří,False,-12.99,0.00,0.00
1986,Lelekovice,False,-13.25,0.00,0.07
1986,Kostice,False,-9.00,0.00,0.00
1986,Sudoměřice,False,-9.65,0.00,0.00
1987,Sudoměřice,True,1.45,7.80,0.28
1987,Kostice,True,1.97,7.40,0.14
1987,Lelekovice,True,2.10,4.20,0.00
1987,Předklášteří,True,2.44,4.40,0.00
1987,Prštice,True,1.78,4.40,0.00
1987,Rebešovice,True,1.98,5.00,0.00
1988,Rebešovice,True,4.91,5.10,0.00
1988,Prštice,True,4.32,4.60,0.00
1988,Předklášteří,True,4.19,4.60,0.00
1988,Lelekovice,True,3.98,5.40,0.00
1988,Kostice,True,6.85,4.20,0.00
1988,Sudoměřice,True,6.45,4.20,0.00
1989,Sudoměřice,True,3.57,0.00,0.00
1989,Kostice,True,3.68,0.00,0.00
1989,Lelekovice,True,3.85,0.00,0.00
1989,Předklášteří,True,4.22,0.00,0.00
1989,Prštice,True,3.60,0.00,0.00
1989,Rebešovice,True,3.72,0.00,0.00
1990,Rebešovice,True,2.95,0.00,0.00
1990,Prštice,True,2.47,0.00,0.00
1990,Předklášteří,True,2.69,0.00,0.00
1990,Lelekovice,True,2.71,0.00,0.00
1990,Kostice,True,4.35,0.00,0.00
1990,Sudoměřice,True,4.48,0.00,0.00
1991,Sudoměřice,False,-3.25,0.00,2.10
1991,Kostice,False,-3.51,0.00,2.52
1991,Lelekovice,False,-6.18,0.00,2.66
1991,Předklášteří,False,-5.74,0.00,2.94
1991,Prštice,False,-5.82,0.00,2.94
1991,Rebešovice,False,-5.13,0.00,2.73
1992,Rebešovice,True,6.31,5.50,0.00
1992,Prštice,True,5.69,3.30,0.00
1992,Předklášteří,True,5.60,3.30,0.00
1992,Lelekovice,True,5.41,2.20,0.00
1992,Kostice,True,6.53,7.80,0.00
1992,Sudoměřice,True,6.26,7.30,0.00
1993,Sudoměřice,False,0.00,0.00,0.00
1993,Kostice,True,1.20,0.10,0.00
1993,Lelekovice,True,1.09,0.00,0.00
1993,Předklášteří,True,1.35,0.00,0.00
1993,Prštice,True,1.10,0.00,0.00
1993,Rebešovice,True,1.49,0.00,0.00
1994,Rebešovice,True,5.05,0.00,0.00
1994,Prštice,True,4.45,0.00,0.00
1994,Předklášteří,True,4.44,0.00,0.00
1994,Lelekovice,True,4.35,0.00,0.00
1994,Kostice,True,5.54,0.00,0.00
1994,Sudoměřice,True,5.49,0.00,0.00
1995,Sudoměřice,True,8.17,0.00,0.00
1995,Kostice,True,8.79,0.00,0.00
1995,Lelekovice,True,7.34,0.00,0.00
1995,Předklášteří,True,7.43,0.00,0.00
1995,Prštice,True,7.80,0.00,0.00
1995,Rebešovice,True,8.25,0.00,0.00
1996,Rebešovice,False,-12.05,0.00,0.00
1996,Prštice,False,-12.28,0.00,0.07
1996,Předklášteří,False,-12.35,0.00,0.07
1996,Lelekovice,False,-12.95,0.00,0.21
1996,Kostice,False,-10.65,0.00,0.00
1996,Sudoměřice,False,-11.13,0.00,0.00
1997,Sudoměřice,False,-0.50,0.00,0.00
1997,Kostice,False,-0.88,0.00,0.00
1997,Lelekovice,False,-1.75,0.00,0.00
1997,Předklášteří,False,-1.64,0.00,0.00
1997,Prštice,False,-1.60,0.00,0.00
1997,Rebešovice,False,-1.09,0.00,0.00
1998,Rebešovice,True,0.20,0.00,0.00
1998,Prštice,False,-0.50,0.00,0.00
1998,Předklášteří,False,-0.11,0.00,0.00
1998,Lelekovice,False,-0.25,0.00,0.00
1998,Kostice,True,0.81,0.00,0.00
1998,Sudoměřice,True,0.94,0.00,0.00
1999,Sudoměřice,True,0.40,0.20,1.26
1999,Kostice,True,0.67,0.30,1.33
1999,Lelekovice,False,-0.37,0.00,3.08
1999,Předklášteří,False,-0.05,0.00,2.38
1999,Prštice,False,-0.42,0.00,2.38
1999,Rebešovice,True,0.10,0.20,2.17
2000,Rebešovice,True,5.77,0.00,0.00
2000,Prštice,True,5.48,0.00,0.00
2000,Předklášteří,True,6.15,0.00,0.00
2000,Lelekovice,True,5.51,0.00,0.00
2000,Kostice,True,5.33,0.00,0.00
2000,Sudoměřice,True,4.45,0.00,0.00
2001,Sudoměřice,True,6.96,0.00,0.00
2001,Kostice,True,6.80,0.00,0.00
2001,Lelekovice,True,3.41,0.00,0.00
2001,Předklášteří,True,3.51,0.00,0.00
2001,Prštice,True,3.64,0.00,0.00
2001,Rebešovice,True,3.96,0.00,0.00
2002,Rebešovice,True,3.01,0.10,0.00
2002,Prštice,True,2.55,0.30,0.00
2002,Předklášteří,True,3.14,0.30,0.00
2002,Lelekovice,True,2.93,0.40,0.00
2002,Kostice,True,2.87,0.40,0.00
2002,Sudoměřice,True,3.23,0.10,0.00
2003,Sudoměřice,False,-3.02,0.00,0.14
2003,Kostice,False,-2.46,0.00,0.00
2003,Lelekovice,False,-5.01,0.00,0.00
2003,Předklášteří,False,-4.72,0.00,0.00
2003,Prštice,False,-3.65,0.00,0.00
2003,Rebešovice,False,-3.16,0.00,0.00
2004,Rebešovice,True,8.20,0.00,0.00
2004,Prštice,True,8.21,0.00,0.00
2004,Předklášteří,True,8.90,0.00,0.00
2004,Lelekovice,True,8.65,0.00,0.00
2004,Kostice,True,9.76,0.00,0.00
2004,Sudoměřice,True,8.38,0.00,0.00
2005,Sudoměřice,False,-6.43,0.00,0.00
2005,Kostice,False,-7.05,0.00,0.00
2005,Lelekovice,False,-9.06,0.00,0.00
2005,Předklášteří,False,-9.04,0.00,0.00
2005,Prštice,False,-8.16,0.00,0.00
2005,Rebešovice,False,-7.50,0.00,0.00
2006,Rebešovice,False,-4.43,4.30,3.43
2006,Prštice,False,-4.74,4.10,2.24
2006,Předklášteří,False,-4.10,4.10,2.24
2006,Lelekovice,False,-4.60,2.00,3.99
2006,Kostice,False,-5.21,3.60,5.53
2006,Sudoměřice,False,-6.35,1.70,8.33
2007,Sudoměřice,True,3.21,0.50,0.07
2007,Kostice,True,3.49,0.50,0.07
2007,Lelekovice,True,2.11,0.40,0.91
2007,Předklášteří,True,2.39,0.10,0.63
2007,Prštice,True,2.07,0.10,0.63
2007,Rebešovice,True,2.73,0.40,0.49
2008,Rebešovice,True,4.50,0.90,0.00
2008,Prštice,True,3.82,0.60,0.00
2008,Předklášteří,True,4.02,0.60,0.00
2008,Lelekovice,True,3.75,0.80,0.00
2008,Kostice,True,4.63,1.30,0.00
2008,Sudoměřice,True,4.47,1.70,0.00
2009,Sudoměřice,True,8.46,0.00,0.00
2009,Kostice,True,8.83,0.70,0.00
2009,Lelekovice,True,7.21,0.20,0.00
2009,Předklášteří,True,7.28,0.20,0.00
2009,Prštice,True,7.40,0.20,0.00
2009,Rebešovice,True,8.06,0.10,0.00
2010,Rebešovice,False,-7.42,0.00,0.00
2010,Prštice,False,-7.63,0.00,0.07
2010,Předklášteří,False,-7.32,0.00,0.07
2010,Lelekovice,False,-7.56,0.00,0.00
2010,Kostice,False,-7.26,0.00,0.00
2010,Sudoměřice,False,-7.74,0.00,0.00
2011,Sudoměřice,True,2.27,0.00,0.00
2011,Kostice,True,2.95,0.00,0.00
2011,Lelekovice,True,3.61,0.00,0.00
2011,Předklášteří,True,3.88,0.00,0.00
2011,Prštice,True,2.85,0.00,0.00
2011,Rebešovice,True,2.70,0.00,0.00
2012,Rebešovice,False,-10.14,0.00,0.35
2012,Prštice,False,-10.59,0.00,0.63
2012,Předklášteří,False,-11.11,0.00,0.63
2012,Lelekovice,False,-11.27,0.00,0.35
2012,Kostice,False,-10.22,0.00,0.42
2012,Sudoměřice,False,-10.51,0.00,0.14
2013,Sudoměřice,False,-0.32,0.00,0.00
2013,Kostice,False,-0.18,0.00,0.00
2013,Lelekovice,False,-1.15,0.00,0.00
2013,Předklášteří,False,-0.92,0.00,0.00
2013,Prštice,False,-1.23,0.00,0.00
2013,Rebešovice,False,-1.00,0.00,0.00
2014,Rebešovice,True,1.56,0.60,0.14
2014,Prštice,True,0.99,0.60,0.14
2014,Předklášteří,True,1.30,0.60,0.14
2014,Lelekovice,True,1.21,0.60,0.77
2014,Kostice,True,2.35,0.20,0.00
2014,Sudoměřice,True,2.49,0.00,0.00
2015,Sudoměřice,False,-4.29,0.00,0.00
2015,Kostice,False,-3.16,0.00,0.00
2015,Lelekovice,False,-3.42,0.00,0.00
2015,Předklášteří,False,-3.28,0.00,0.00
2015,Prštice,False,-2.36,0.00,0.00
2015,Rebešovice,False,-2.00,0.00,0.00
2016,Rebešovice,True,4.84,0.00,0.00
2016,Prštice,True,4.20,0.00,0.00
2016,Předklášteří,True,3.94,0.00,0.00
2016,Lelekovice,True,3.98,0.00,0.00
2016,Kostice,True,5.99,0.00,0.00
2016,Sudoměřice,True,5.54,0.00,0.00
2017,Sudoměřice,False,-1.80,0.00,0.00
2017,Kostice,False,-1.52,0.00,0.00
2017,Lelekovice,False,-3.14,0.00,0.00
2017,Předklášteří,False,-2.90,0.00,0.00
2017,Prštice,False,-2.04,0.00,0.00
2017,Rebešovice,False,-1.60,0.00,0.00
2018,Rebešovice,True,0.48,0.00,3.36
2018,Prštice,False,-0.21,0.10,3.64
2018,Předklášteří,True,0.32,0.00,3.43
2018,Lelekovice,False,-0.02,0.00,3.36
2018,Kostice,True,0.47,1.60,3.64
2018,Sudoměřice,True,0.44,1.90,2.87
2019,Sudoměřice,False,-0.21,0.00,0.00
2019,Kostice,False,-0.85,0.00,0.00
2019,Lelekovice,False,-1.90,0.00,0.00
2019,Předklášteří,False,-2.06,0.00,0.00
2019,Prštice,False,-2.10,0.00,0.00
2019,Rebešovice,False,-1.69,0.00,0.00
2020,Rebešovice,True,4.27,0.00,0.00
2020,Prštice,True,3.60,0.00,0.00
2020,Předklášteří,True,3.41,0.00,0.00
2020,Lelekovice,True,3.23,0.00,0.00
2020,Kostice,True,4.46,0.00,0.00
2020,Sudoměřice,True,4.03,0.00,0.00
2021,Sudoměřice,False,-0.35,6.60,0.14
2021,Kostice,True,0.54,9.80,0.21
2021,Lelekovice,False,-2.23,3.70,1.19
2021,Předklášteří,False,-2.45,3.50,1.19
2021,Prštice,False,-2.73,3.40,1.68
2021,Rebešovice,False,-2.77,3.40,0.98
2022,Rebešovice,True,3.99,1.30,0.00
2022,Prštice,True,3.29,1.30,0.07
2022,Předklášteří,True,2.94,1.90,0.07
2022,Lelekovice,True,2.82,1.80,0.07
2022,Kostice,True,4.40,3.00,0.28
2022,Sudoměřice,True,4.11,3.40,0.00
2023,Sudoměřice,False,-4.27,0.00,0.00
2023,Kostice,False,-3.96,0.00,0.00
2023,Lelekovice,False,-4.48,0.00,0.00
2023,Předklášteří,False,-4.48,0.00,0.00
2023,Prštice,False,-4.27,0.00,0.00
2023,Rebešovice,False,-4.14,0.00,0.00
2024,Rebešovice,True,8.43,0.50,0.00
2024,Prštice,True,7.90,0.60,0.00
2024,Předklášteří,True,7.68,1.80,0.00
2024,Lelekovice,True,7.55,1.80,0.00
2024,Kostice,True,9.05,0.00,0.00
2024,Sudoměřice,True,8.53,0.40,0.00
