Rok,Město,Pravda,Teplota,Déšť,Sníh
1975,Vyškov,True,0.20,0.00,0.00
1975,Hodonín,True,0.67,0.00,0.00
1975,Blansko,True,0.23,0.00,0.00
1975,Břeclav,True,0.77,0.00,0.00
1975,Ivančice,True,0.67,0.00,0.00
1975,Znojmo,True,0.95,0.00,0.00
1976,Znojmo,False,-2.57,0.00,0.00
1976,Ivančice,False,-1.06,0.00,0.00
1976,Břeclav,False,-1.12,0.00,0.00
1976,Blansko,False,-4.25,0.00,0.00
1976,Hodonín,False,-1.06,0.00,0.00
1976,Vyškov,False,-4.60,0.00,0.00
1977,Vyškov,True,2.35,2.90,0.00
1977,Hodonín,True,2.53,3.20,0.00
1977,Blansko,True,2.97,2.70,0.00
1977,Břeclav,True,2.80,3.20,0.00
1977,Ivančice,True,2.53,3.20,0.00
1977,Znojmo,True,3.66,1.10,0.00
1978,Znojmo,False,-2.80,0.00,0.56
1978,Ivančice,False,-2.06,0.00,1.33
1978,Břeclav,False,-1.70,0.00,1.33
1978,Blansko,False,-3.68,0.00,0.98
1978,Hodonín,False,-2.06,0.00,1.33
1978,Vyškov,False,-2.75,0.00,1.12
1979,Vyškov,False,-4.15,0.00,0.00
1979,Hodonín,False,-2.46,0.00,0.00
1979,Blansko,False,-4.63,0.00,0.00
1979,Břeclav,False,-2.03,0.00,0.00
1979,Ivančice,False,-2.46,0.00,0.00
1979,Znojmo,False,-3.78,0.00,0.00
1980,Znojmo,True,2.33,0.10,0.00
1980,Ivančice,True,3.03,1.00,0.00
1980,Břeclav,True,2.88,1.00,0.00
1980,Blansko,True,2.76,0.50,0.00
1980,Hodonín,True,3.03,1.00,0.00
1980,Vyškov,True,3.45,0.50,0.00
1981,Vyškov,True,3.71,0.80,1.26
1981,Hodonín,True,4.28,2.10,0.77
1981,Blansko,True,3.89,0.60,1.26
1981,Břeclav,True,4.67,2.10,0.77
1981,Ivančice,True,4.28,2.10,0.77
1981,Znojmo,True,5.02,1.60,0.14
1982,Znojmo,True,2.44,0.00,0.00
1982,Ivančice,True,0.92,0.70,0.00
1982,Břeclav,True,1.11,0.70,0.00
1982,Blansko,True,1.58,0.00,0.00
1982,Hodonín,True,0.92,0.70,0.00
1982,Vyškov,True,0.84,0.00,0.00
1983,Vyškov,False,-1.18,0.00,2.45
1983,Hodonín,False,-0.87,0.00,1.54
1983,Blansko,False,-1.72,0.00,2.38
1983,Břeclav,False,-0.76,0.00,1.54
1983,Ivančice,False,-0.87,0.00,1.54
1983,Znojmo,False,-1.47,0.00,0.84
1984,Znojmo,True,4.65,5.90,0.00
1984,Ivančice,True,3.49,5.60,0.00
1984,Břeclav,True,3.96,5.60,0.00
1984,Blansko,True,3.32,6.70,0.07
1984,Hodonín,True,3.49,5.60,0.00
1984,Vyškov,True,3.15,7.70,0.00
1985,Vyškov,False,-1.05,0.00,0.21
1985,Hodonín,True,0.48,0.00,0.35
1985,Blansko,False,-1.38,0.00,0.00
1985,Břeclav,True,0.54,0.00,0.35
1985,Ivančice,True,0.48,0.00,0.35
1985,Znojmo,True,0.07,0.10,0.00
1986,Znojmo,False,-9.63,0.00,0.21
1986,Ivančice,False,-9.05,0.00,0.00
1986,Břeclav,False,-8.87,0.00,0.00
1986,Blansko,False,-12.92,0.00,0.00
1986,Hodonín,False,-9.05,0.00,0.00
1986,Vyškov,False,-12.15,0.00,0.00
1987,Vyškov,True,1.82,4.40,0.14
1987,Hodonín,True,1.64,7.40,0.14
1987,Blansko,True,2.30,4.20,0.07
1987,Břeclav,True,1.94,7.40,0.14
1987,Ivančice,True,1.64,7.40,0.14
1987,Znojmo,True,3.10,3.30,0.00
1988,Znojmo,True,4.61,3.30,0.00
1988,Ivančice,True,6.60,4.00,0.00
1988,Břeclav,True,6.31,4.00,0.00
1988,Blansko,True,4.04,6.00,0.00
1988,Hodonín,True,6.60,4.00,0.00
1988,Vyškov,True,4.65,6.40,0.00
1989,Vyškov,True,4.27,0.00,0.00
1989,Hodonín,True,3.63,0.00,0.00
1989,Blansko,True,4.17,0.00,0.00
