rok,teplota,dest,snih,true
1940,17.779166666666665,0.0,0.0,False
1941,13.541666666666666,1.5000000000000002,0.0,True
1942,19.974999999999998,0.0,0.0,False
1943,16.51666666666667,4.6,0.0,True
1944,17.820833333333333,0.0,0.0,False
1945,17.837500000000002,0.0,0.0,False
1946,19.295833333333338,0.30000000000000004,0.0,True
1947,12.395833333333336,2.3000000000000003,0.0,True
1948,21.24166666666667,0.0,0.0,False
1949,15.10833333333334,11.000000000000002,0.0,True
1950,16.654166666666665,0.0,0.0,False
1951,16.5375,0.0,0.0,False
1952,15.862499999999997,1.8000000000000003,0.0,True
1953,18.212500000000002,14.100000000000001,0.0,True
1954,17.933333333333334,0.0,0.0,False
1955,12.925000000000002,0.2,0.0,True
1956,18.84166666666666,1.6999999999999997,0.0,True
1957,22.491666666666664,1.0,0.0,True
1958,13.325000000000003,6.699999999999999,0.0,True
1959,13.379166666666663,9.699999999999998,0.0,True
1960,16.812500000000004,0.0,0.0,False
1961,17.4375,0.1,0.0,True
1962,13.9,0.5,0.0,True
1963,17.9,1.9,0.0,True
1964,21.208333333333332,0.0,0.0,False
1965,14.808333333333332,1.4,0.0,True
1966,22.612499999999997,1.4,0.0,True
1967,12.029166666666669,0.1,0.0,True
1968,12.895833333333334,0.30000000000000004,0.0,True
1969,17.8875,0.0,0.0,False
1970,19.3375,0.0,0.0,False
1971,14.366666666666665,12.6,0.0,True
1972,21.2,0.5,0.0,True
1973,17.87916666666667,0.0,0.0,False
1974,11.870833333333332,2.7,0.0,True
1975,19.55416666666667,1.9,0.0,True
1976,17.179166666666664,0.0,0.0,False
1977,22.641666666666662,0.0,0.0,False
1978,14.783333333333333,0.6000000000000001,0.0,True
1979,19.441666666666666,11.300000000000004,0.0,True
1980,20.29583333333333,0.0,0.0,False
1981,22.64166666666667,0.0,0.0,False
1982,19.8875,16.9,0.0,True
1983,19.245833333333337,0.0,0.0,False
1984,12.737500000000004,0.0,0.0,False
1985,15.079166666666664,0.0,0.0,False
1986,14.741666666666667,15.4,0.0,True
1987,19.579166666666662,0.0,0.0,False
1988,16.45833333333333,0.30000000000000004,0.0,True
1989,16.925,0.0,0.0,False
1990,16.958333333333332,0.0,0.0,False
1991,17.199999999999996,0.0,0.0,False
1992,17.662500000000005,7.2,0.0,True
1993,16.7625,11.5,0.0,True
1994,15.766666666666667,0.0,0.0,False
1995,16.554166666666667,8.100000000000001,0.0,True
1996,24.004166666666666,0.9,0.0,True
1997,21.087500000000002,9.6,0.0,True
1998,16.45,4.0,0.0,True
1999,16.283333333333335,20.099999999999998,0.0,True
2000,25.516666666666676,1.1,0.0,True
2001,13.633333333333333,0.0,0.0,False
2002,17.708333333333332,0.0,0.0,False
2003,25.795833333333334,0.0,0.0,False
2004,19.458333333333332,1.7,0.0,True
2005,14.3375,2.7,0.0,True
2006,18.35833333333333,0.0,0.0,False
2007,22.699999999999992,0.0,0.0,False
2008,16.983333333333334,0.2,0.0,True
2009,15.666666666666663,0.1,0.0,True
2010,24.362499999999997,5.2,0.0,True
2011,17.645833333333336,0.5,0.0,True
2012,16.79583333333333,14.4,0.0,True
2013,16.445833333333336,0.0,0.0,False
2014,24.095833333333335,1.2000000000000002,0.0,True
2015,25.041666666666668,1.9,0.0,True
2016,18.15416666666667,3.2,0.0,True
2017,22.695833333333336,0.0,0.0,False
2018,24.200000000000003,0.4,0.0,True
2019,26.179166666666664,0.0,0.0,False
2020,20.137500000000003,0.0,0.0,False
2021,21.404166666666665,0.7,0.0,True
2022,20.166666666666668,0.0,0.0,False
2023,17.225,0.0,0.0,False
2024,14.674999999999999,1.1,0.0,True
