rok,teplota,dest,snih,true
1940,16.804166666666664,0.0,0.0,False
1941,11.858333333333334,0.0,0.0,False
1942,17.920833333333334,0.0,0.0,False
1943,16.183333333333337,2.9,0.0,True
1944,16.462500000000002,0.0,0.0,False
1945,17.108333333333334,0.1,0.0,True
1946,17.0125,0.6,0.0,True
1947,10.170833333333334,3.0,0.0,True
1948,20.270833333333336,0.0,0.0,False
1949,13.7875,9.2,0.0,True
1950,15.116666666666669,0.0,0.0,False
1951,15.491666666666669,0.0,0.0,False
1952,14.362499999999997,0.6,0.0,True
1953,17.6625,11.800000000000002,0.0,True
1954,17.008333333333336,0.0,0.0,False
1955,11.604166666666666,0.0,0.0,False
1956,17.291666666666668,0.4,0.0,True
1957,19.991666666666664,0.4,0.0,True
1958,12.433333333333332,1.9000000000000004,0.0,True
1959,12.858333333333333,8.1,0.0,True
1960,15.504166666666668,0.0,0.0,False
1961,16.375,0.6,0.0,True
1962,12.475,0.30000000000000004,0.0,True
1963,17.229166666666668,0.1,0.0,True
1964,20.229166666666668,0.0,0.0,False
1965,13.700000000000001,0.4,0.0,True
1966,21.0125,0.8999999999999999,0.0,True
1967,10.629166666666666,3.4000000000000004,0.0,True
1968,11.941666666666668,0.1,0.0,True
1969,17.2125,0.1,0.0,True
1970,18.533333333333335,0.0,0.0,False
1971,13.179166666666667,9.899999999999999,0.0,True
1972,19.983333333333334,0.5,0.0,True
1973,16.133333333333333,0.0,0.0,False
1974,10.508333333333333,1.9,0.0,True
1975,18.599999999999994,0.5,0.0,True
1976,15.416666666666664,0.0,0.0,False
1977,20.991666666666667,0.4,0.0,True
1978,12.745833333333332,0.1,0.0,True
1979,19.166666666666668,7.8999999999999995,0.0,True
1980,18.379166666666666,0.0,0.0,False
1981,21.24583333333333,0.0,0.0,False
1982,18.49583333333333,15.2,0.0,True
1983,17.016666666666662,0.0,0.0,False
1984,11.220833333333333,0.0,0.0,False
1985,13.537500000000003,0.0,0.0,False
1986,13.445833333333335,17.099999999999998,0.0,True
1987,19.5125,0.0,0.0,False
1988,14.608333333333336,0.30000000000000004,0.0,True
1989,15.604166666666664,0.2,0.0,True
1990,15.541666666666666,1.0,0.0,True
1991,15.983333333333333,0.0,0.0,False
1992,17.141666666666662,1.8,0.0,True
1993,15.520833333333336,8.1,0.0,True
1994,15.054166666666667,0.0,0.0,False
1995,15.104166666666664,8.5,0.0,True
1996,22.541666666666668,2.5,0.0,True
1997,20.187499999999996,0.5,0.0,True
1998,15.424999999999997,10.999999999999998,0.0,True
1999,14.27083333333333,30.099999999999998,0.0,True
2000,23.474999999999998,0.30000000000000004,0.0,True
2001,12.454166666666667,0.2,0.0,True
2002,16.25833333333333,0.0,0.0,False
2003,23.516666666666666,0.0,0.0,False
2004,17.783333333333335,0.8,0.0,True
2005,13.2875,2.0999999999999996,0.0,True
2006,17.61666666666667,0.0,0.0,False
2007,21.141666666666666,0.1,0.0,True
2008,15.775000000000004,0.1,0.0,True
2009,13.441666666666668,4.0,0.0,True
2010,23.25,8.1,0.0,True
2011,16.1125,7.0,0.0,True
2012,15.799999999999995,11.4,0.0,True
2013,15.808333333333332,0.0,0.0,False
2014,21.933333333333334,0.6000000000000001,0.0,True
2015,22.608333333333324,3.5,0.0,True
2016,16.866666666666664,0.2,0.0,True
2017,20.874999999999996,0.4,0.0,True
2018,21.724999999999998,1.4,0.0,True
2019,24.650000000000002,0.0,0.0,False
2020,18.929166666666667,3.6,0.0,True
2021,19.487499999999997,1.3,0.0,True
2022,20.266666666666666,0.0,0.0,False
2023,15.9,0.0,0.0,False
2024,13.250000000000002,4.6,0.0,True
