rok,teplota,dest,snih,true
1940,16.966666666666665,0.0,0.0,False
1941,12.891666666666667,0.0,0.0,False
1942,18.375,0.0,0.0,False
1943,16.520833333333336,2.0,0.0,True
1944,16.925,0.0,0.0,False
1945,17.558333333333334,0.1,0.0,True
1946,17.995833333333334,0.3,0.0,True
1947,10.887500000000001,1.5000000000000002,0.0,True
1948,20.64166666666667,0.0,0.0,False
1949,14.516666666666666,6.499999999999999,0.0,True
1950,15.420833333333334,0.0,0.0,False
1951,15.799999999999995,0.0,0.0,False
1952,14.649999999999999,0.8999999999999999,0.0,True
1953,17.787499999999998,16.8,0.0,True
1954,17.287499999999998,0.0,0.0,False
1955,11.912500000000001,0.0,0.0,False
1956,17.400000000000002,0.6,0.0,True
1957,20.058333333333334,0.9000000000000001,0.0,True
1958,12.737499999999999,2.4,0.0,True
1959,13.054166666666667,9.4,0.0,True
1960,15.795833333333333,0.0,0.0,False
1961,16.6125,0.2,0.0,True
1962,12.733333333333334,0.5,0.0,True
1963,17.55416666666667,0.0,0.0,False
1964,20.525000000000002,0.0,0.0,False
1965,13.883333333333335,0.5,0.0,True
1966,21.3125,4.7,0.0,True
1967,10.879166666666668,0.9,0.0,True
1968,12.237500000000002,0.30000000000000004,0.0,True
1969,17.5125,0.0,0.0,False
1970,18.858333333333334,0.0,0.0,False
1971,13.433333333333332,7.399999999999999,0.0,True
1972,20.208333333333332,0.7999999999999999,0.0,True
1973,16.508333333333336,0.0,0.0,False
1974,10.829166666666666,1.3,0.0,True
1975,18.887500000000003,0.4,0.0,True
1976,15.745833333333335,0.0,0.0,False
1977,21.3,0.2,0.0,True
1978,13.029166666666669,0.0,0.0,False
1979,19.5,8.8,0.0,True
1980,18.654166666666665,0.0,0.0,False
1981,21.5,0.0,0.0,False
1982,18.662499999999998,16.9,0.0,True
1983,17.266666666666666,0.0,0.0,False
1984,11.533333333333331,0.0,0.0,False
1985,13.854166666666666,0.0,0.0,False
1986,13.395833333333334,16.4,0.0,True
1987,19.575,0.0,0.0,False
1988,14.929166666666667,0.6000000000000001,0.0,True
1989,15.970833333333337,0.0,0.0,False
1990,15.783333333333337,0.1,0.0,True
1991,16.3,0.0,0.0,False
1992,17.395833333333336,3.1999999999999997,0.0,True
1993,15.683333333333332,11.299999999999999,0.0,True
1994,15.383333333333335,0.0,0.0,False
1995,15.216666666666667,11.0,0.0,True
1996,22.816666666666666,1.5,0.0,True
1997,20.570833333333333,1.2999999999999998,0.0,True
1998,15.591666666666661,11.0,0.0,True
1999,14.337500000000004,31.799999999999997,0.0,True
2000,23.59166666666667,0.6000000000000001,0.0,True
2001,12.754166666666665,0.3,0.0,True
2002,16.637499999999996,0.0,0.0,False
2003,23.887500000000003,0.0,0.0,False
2004,18.05,0.5,0.0,True
2005,13.587500000000004,3.0000000000000004,0.0,True
2006,18.000000000000004,0.0,0.0,False
2007,21.583333333333332,0.0,0.0,False
2008,16.025,0.1,0.0,True
2009,13.774999999999999,0.7,0.0,True
2010,23.587500000000002,9.799999999999999,0.0,True
2011,16.3625,5.0,0.0,True
2012,16.083333333333332,8.8,0.0,True
2013,16.162499999999998,0.0,0.0,False
2014,22.200000000000003,0.4,0.0,True
2015,22.91250000000001,1.7999999999999998,0.0,True
2016,17.095833333333335,0.8,0.0,True
2017,20.966666666666665,0.2,0.0,True
2018,21.558333333333334,0.9,0.0,True
2019,25.004166666666666,0.0,0.0,False
2020,19.249999999999996,2.6,0.0,True
2021,19.529166666666665,2.3000000000000003,0.0,True
2022,20.279166666666665,0.0,0.0,False
2023,16.09583333333333,0.0,0.0,False
2024,13.379166666666668,4.499999999999999,0.0,True
