rok,teplota,dest,snih,true
1940,16.724999999999998,0.0,0.0,False
1941,12.637500000000001,0.0,0.0,False
1942,18.137500000000003,0.0,0.0,False
1943,16.2625,2.0,0.0,True
1944,16.683333333333334,0.0,0.0,False
1945,17.325000000000003,0.1,0.0,True
1946,17.762499999999996,0.3,0.0,True
1947,10.6375,1.5000000000000002,0.0,True
1948,20.4,0.0,0.0,False
1949,14.275000000000004,6.499999999999999,0.0,True
1950,15.325000000000001,0.0,0.0,False
1951,15.325000000000001,0.0,0.0,False
1952,14.637500000000003,0.8999999999999999,0.0,True
1953,17.395833333333332,16.8,0.0,True
1954,16.933333333333334,0.0,0.0,False
1955,11.804166666666667,0.0,0.0,False
1956,17.2125,0.6,0.0,True
1957,20.445833333333336,0.9000000000000001,0.0,True
1958,12.612499999999999,2.4,0.0,True
1959,12.899999999999999,9.4,0.0,True
1960,15.495833333333335,0.0,0.0,False
1961,16.412499999999998,0.2,0.0,True
1962,12.612499999999999,0.5,0.0,True
1963,17.212500000000002,0.0,0.0,False
1964,19.937500000000004,0.0,0.0,False
1965,13.841666666666669,0.5,0.0,True
1966,21.095833333333335,4.7,0.0,True
1967,10.729166666666666,0.9,0.0,True
1968,11.879166666666668,0.30000000000000004,0.0,True
1969,17.000000000000004,0.0,0.0,False
1970,18.466666666666665,0.0,0.0,False
1971,13.250000000000002,7.399999999999999,0.0,True
1972,19.708333333333332,0.7999999999999999,0.0,True
1973,16.625,0.0,0.0,False
1974,10.895833333333334,1.3,0.0,True
1975,18.666666666666668,0.4,0.0,True
1976,16.137499999999996,0.0,0.0,False
1977,21.21666666666667,0.2,0.0,True
1978,13.341666666666669,0.0,0.0,False
1979,19.166666666666668,8.8,0.0,True
1980,18.720833333333335,0.0,0.0,False
1981,21.616666666666664,0.0,0.0,False
1982,18.59166666666666,16.9,0.0,True
1983,17.729166666666668,0.0,0.0,False
1984,11.358333333333333,0.0,0.0,False
1985,13.825000000000001,0.0,0.0,False
1986,13.412500000000003,16.4,0.0,True
1987,18.529166666666665,0.0,0.0,False
1988,14.916666666666666,0.6000000000000001,0.0,True
1989,16.054166666666667,0.0,0.0,False
1990,15.908333333333333,0.1,0.0,True
1991,16.208333333333336,0.0,0.0,False
1992,17.02916666666667,3.1999999999999997,0.0,True
1993,15.70833333333333,11.299999999999999,0.0,True
1994,15.00416666666667,0.0,0.0,False
1995,14.924999999999997,11.0,0.0,True
1996,22.5,1.5,0.0,True
1997,20.787499999999998,1.2999999999999998,0.0,True
1998,15.237500000000002,11.0,0.0,True
1999,14.449999999999996,31.799999999999997,0.0,True
2000,23.754166666666663,0.6000000000000001,0.0,True
2001,12.6,0.3,0.0,True
2002,16.229166666666664,0.0,0.0,False
2003,23.900000000000002,0.0,0.0,False
2004,18.145833333333336,0.5,0.0,True
2005,13.35,3.0000000000000004,0.0,True
2006,17.570833333333333,0.0,0.0,False
2007,21.104166666666664,0.0,0.0,False
2008,15.925000000000002,0.1,0.0,True
2009,14.108333333333334,0.7,0.0,True
2010,23.500000000000004,9.799999999999999,0.0,True
2011,16.26666666666667,5.0,0.0,True
2012,15.841666666666663,8.8,0.0,True
2013,15.600000000000001,0.0,0.0,False
2014,22.59583333333333,0.4,0.0,True
2015,23.5,1.7999999999999998,0.0,True
2016,16.912500000000005,0.8,0.0,True
2017,21.566666666666663,0.0,0.0,False
2018,22.0625,1.4,0.0,True
2019,24.71666666666667,0.0,0.0,False
2020,19.245833333333337,0.8,0.0,True
2021,20.316666666666666,0.4,0.0,True
2022,20.395833333333332,0.1,0.0,True
2023,16.241666666666667,0.0,0.0,False
2024,13.1875,3.1,0.0,True
