rok,teplota,dest,snih,true
1940,17.6,0.0,0.0,False
1941,13.229166666666666,2.8000000000000007,0.0,True
1942,20.05,0.1,0.0,True
1943,16.108333333333334,7.5,0.0,True
1944,17.816666666666663,0.0,0.0,False
1945,17.416666666666664,0.0,0.0,False
1946,19.195833333333333,0.6,0.0,True
1947,12.19166666666667,3.3000000000000003,0.0,True
1948,21.1,0.0,0.0,False
1949,14.591666666666667,13.799999999999997,0.0,True
1950,15.883333333333331,0.0,0.0,False
1951,16.720833333333335,0.0,0.0,False
1952,15.262500000000003,2.4000000000000004,0.0,True
1953,18.616666666666664,9.700000000000001,0.0,True
1954,17.49166666666667,0.0,0.0,False
1955,12.0875,0.30000000000000004,0.0,True
1956,18.904166666666665,2.4000000000000004,0.0,True
1957,21.8875,1.0,0.0,True
1958,12.991666666666667,8.699999999999998,0.0,True
1959,13.4,7.800000000000001,0.0,True
1960,16.3625,0.0,0.0,False
1961,17.379166666666666,0.2,0.0,True
1962,13.454166666666666,0.6,0.0,True
1963,17.399999999999995,3.4,0.0,True
1964,21.162499999999998,0.0,0.0,False
1965,14.658333333333331,2.0,0.0,True
1966,22.283333333333335,0.0,0.0,False
1967,11.516666666666666,0.1,0.0,True
1968,12.849999999999996,0.4,0.0,True
1969,17.416666666666668,0.1,0.0,True
1970,18.779166666666672,0.0,0.0,False
1971,14.262500000000003,18.3,0.0,True
1972,21.1375,0.3,0.0,True
1973,16.9625,0.0,0.0,False
1974,11.245833333333335,2.6,0.0,True
1975,19.220833333333335,2.7,0.0,True
1976,16.241666666666664,0.0,0.0,False
1977,22.14583333333334,0.0,0.0,False
1978,14.274999999999999,0.7999999999999999,0.0,True
1979,18.904166666666665,15.4,0.0,True
1980,19.208333333333336,0.0,0.0,False
1981,22.133333333333326,0.0,0.0,False
1982,19.799999999999997,14.5,0.0,True
1983,18.3625,0.0,0.0,False
1984,12.191666666666665,0.0,0.0,False
1985,14.245833333333335,0.0,0.0,False
1986,15.499999999999998,13.200000000000001,0.0,True
1987,19.020833333333336,0.0,0.0,False
1988,15.870833333333332,0.2,0.0,True
1989,15.966666666666667,0.0,0.0,False
1990,16.6375,0.0,0.0,False
1991,17.183333333333337,0.0,0.0,False
1992,17.9875,6.900000000000001,0.0,True
1993,16.883333333333333,12.200000000000001,0.0,True
1994,15.562500000000002,0.0,0.0,False
1995,16.845833333333335,9.3,0.0,True
1996,23.60416666666667,0.3,0.0,True
1997,20.537499999999998,10.6,0.0,True
1998,16.575,5.2,0.0,True
1999,16.720833333333335,14.6,0.0,True
2000,25.020833333333332,2.6,0.0,True
2001,13.150000000000004,0.1,0.0,True
2002,17.433333333333334,0.0,0.0,False
2003,25.154166666666658,0.0,0.0,False
2004,19.1375,2.3000000000000003,0.0,True
2005,13.775,2.9000000000000004,0.0,True
2006,17.979166666666668,0.0,0.0,False
2007,22.387500000000003,0.0,0.0,False
2008,16.74583333333333,0.0,0.0,False
2009,14.862499999999997,0.2,0.0,True
2010,24.087499999999995,4.9,0.0,True
2011,17.50833333333333,0.0,0.0,False
2012,16.620833333333334,15.799999999999999,0.0,True
2013,16.241666666666664,0.0,0.0,False
2014,23.445833333333336,1.5000000000000002,0.0,True
2015,24.100000000000005,3.5000000000000004,0.0,True
2016,18.245833333333337,2.3,0.0,True
2017,22.912499999999998,0.7,0.0,True
2018,23.429166666666664,0.0,0.0,False
2019,26.404166666666665,0.2,0.0,True
2020,20.05416666666666,0.0,0.0,False
2021,20.716666666666665,1.4,0.0,True
2022,19.799999999999997,0.0,0.0,False
2023,17.00416666666667,0.0,0.0,False
2024,14.508333333333338,1.0,0.0,True
